parent_asin,date_first_available,title,description,filename,main_category,categories,store,average_rating,rating_number,price
B0C3JVPJ6M,2023-04-25,Midnight Swing / Frank Sinatra / Nat King Cole Set,Midnight Swing / Frank Sinatra / Nat King Cole - Limited Edition Colored Vinyl Set,meta_CDs_and_Vinyl,Digital Music,"['CDs & Vinyl', 'Vinyl Store']","Frank Sinatra, Nat King Cole, Midnight Swing  (Contributor)    Format: Vinyl",5.0,2.0,99.99
B0BS9Y4RDK,2023-01-12,"Boogie Board Protective Zip Folio Case for Blackboard Reusable Notebooks, Teal (Blackboard Sold Separately)",The Blackboard Protective Case is a durable zippered case made from premium woven material with a padded lining. It can hold up to two Blackboard Letters or a Blackboard Letter and a laptop for even more convenience. Keep your writing tablets safe from drops and bumps in this travel-friendly case. It comes with three pen holders and a block eraser holder to use with the Exact-Erase function on your Blackboard.,meta_Electronics,Cell Phones & Accessories,"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Bags, Cases & Sleeves', 'Sleeves']",Boogie Board,3.7,11.0,17.99
B0BTMXGHL5,2023-02-01,Sunset Graphics & Decals Little Wizard On Board Decal Vinyl Car Sticker | Cars Trucks Vans Walls Laptop | White | 5.5 inches | SGD000299,"This is a high quality vinyl sticker that can be applied to car windows or any smooth clean surface. The sticker does not have a background. It is made from high quality vinyl that is guaranteed to last up to 5 years of exterior use without fading, peeling, or cracking. Easy application instructions are provided with your order.",meta_Automotive,Automotive,"['Automotive', 'Exterior Accessories', 'Bumper Stickers, Decals & Magnets', 'Decals']",Sunset Graphics & Decals,5.0,2.0,7.95
B0C65LSDJY,2023-05-24,Therwen 5 Inches x 100 ft Copper Mesh Knitted Copper Fabric Hole Filler Sturdy and Stretchy Copper Mesh Roll for Distilling Double Layer Wire Mesh for Garden and House Usage,"Features: The copper mesh roll is ideal for guarding your garden plants by keeping unwanted elements out while still allowing air and water to pass through. Its lightweight and fine mesh make it an ideal option for your garden. The copper wire mesh rolls are a versatile, durable, and reusable option for all your hole filling needs. Plus, it's easy to install and guards your home and garden without any added hassles.  Specifications: Material: copper Color: as the picture shown Size: about 5 inches x 100 ft  Package includes: 1 x Copper mesh  Notes: Winding risk may exist, please keep our product away from children. Manual measurement, please allow slight errors on size. The color may exist a slight difference due to different screen displays.",meta_Industrial_and_Scientific,Industrial & Scientific,"['Industrial & Scientific', 'Raw Materials', 'Mesh & Wire Cloth']",Therwen,5.0,2.0,38.99
B0BD8SSFB3,2023-01-11,"YUNZII Royalaxe Y87 TKL Hot Swappable Wireless Mechanical Keyboard with Metal Knob, RGB Backlight, Double Shot PBT Keycaps for Gamers/Mac/Win (TTC Speed Silver V2,Y87 Black)","Tri-Mode Connectivity Wireless & Wired Keybaord:One Click to change connection modes.Royalaxe Y87 works seamlessly with most systems, including Win/iOS/Mac. Simply press the Blue FN + I(IOS)/O(MAC)/P(WIN) to be compatible with your device. The Y87 has a solid silver color knob that you can easily change connections from Wireless / Bluetooth / Wired. 2.4GHz wireless dongle and detachable aviator coiled Type-c cable included. Built-in battery has 3000 mAh that can last up to 350 hours.",meta_Video_Games,Computers,"['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']",YUNZII,4.6,72.0,124.99
B0C8HCY9HN,2023-07-07,"Fanblack 2 in 1 M.2 NVMe SSD Enclosure Tool-Free, M.2 NVMe to USB 3.2 Gen 2 (10 Gbps) Adapter, M2 SSD Enclosure Support NVME PCIe SATA NGFF B+M Key and UASP Trim for 2242/2260/2280 (Gray)","M.2 NVMe to USB 3.2 Gen 2 (10 Gbps) Adapter advantages:
1. The maximum transmission speed can reach 10Gbps, when connected to NVME, the read and write speed can reach 900Mbps, and when connected to SATA, the read and write speed can reach 500Mbps.
2. The USB 3.2 Gen 2 interface can provide better performance and enhance user experience.
3. Don’t get rid of your old M.2 solid state drive, You can save yourself money and repurpose it using external storage. FANBLACK nvme USB adapter is a good solution.
4. Despite the aluminum construction, FANBLACK m.2 to USB adapter is lightweight yet sturdy. It's easy to tuck it into the laptop bag for portability.
5. Tool-free design, plug, and play without extra cables, making your use easier and more convenient.
6. Once connected, the M.2 NVME SSD shows on your computer or laptop as a new partition.
7. Compatible with SSD form factor: 2280/2260/2242
System Requirements:
Windows XP, Vista, 7, 8, 8.1, 10, 11(32/64bit), Windows Server 2003, 2003R2, 2008, 2008R2, 2012, 2012R2, 2016, 2019(32/64bit),
macOS, Linux.
Specifications:
- Dimension: 5.1 x 0.2 x 0.1 inches. Item Weight: 0.11pound
- Input Interface: M.2 NVME M-Key
- Output Interface: USB 3.2 Gen 2
Please Note:
Designer for M.2 NVME/SATA with M-key or B+M key
Made sure your SSD is M.2 NVME/SATA with M-key or B+M key
Package:
- 1 x M.2 NVMe Enclosure
- 1 x piece of heat-dissipating silicone
- 1 x User manual",meta_Electronics,,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Hard Drive Accessories', 'Enclosures']",FANBLACK,4.0,26.0,19.99
B0C8MSTYDL,2023-02-20,"SGBETTER 3 Pack Swingset Steering Wheel Playset Accessories Toys Pirate Ship Steering Wheel for Kids Outdoor Playhouse Treehouse Playground, 3 Color","SGBETTER 3 Pack Swingset Steering Wheel Playset Accessories Toys Pirate Ship Steering Wheel for Kids Outdoor Playhouse Treehouse Playground, 3 Color  Wide application: the pirate ship wheel for climbing frames, tree houses, pirate ship steering wheels, suitable for backyard, playground or jungle gym, can bring endless fun to your kids, kids can also exercise  Specification: Material: plastic Color: green, blue, yellow Quantity: 12 pieces  Package include: 3 x Swingset Steering Wheel 3 x Screw 3 x Screw Washer 3 x Plastic Cap",meta_Toys_and_Games,,"['Toys & Games', 'Sports & Outdoor Play', 'Play Sets & Playground Equipment', 'Play & Swing Sets']",SGBETTER,5.0,3.0,26.98
B0CGYJJM18,2023-08-30,TINGLEY Men's Rain Pants,"Storm flex - lightweight, medium duty rainwear Designed for 100% waterproof protection, generously cut for freedom of movement & comfort. Contemporary styling & lightweight waterproof protection make storm flex an ideal rain suit. Ideal applications: active recreation.",meta_Clothing_Shoes_and_Jewelry,Industrial & Scientific,"['Clothing, Shoes & Jewelry', 'Men', 'Uniforms, Work & Safety', 'Clothing', 'Work Utility & Safety', 'Pants']",TINGLEY,4.2,11.0,41.74
B0C1BDVKGR,2023-04-03,Pasta Knowledge Metal Signs Retro Kitchen Decor Types Of Pasta Posters Printed Plaque Home Room Wall Decor 12x16 Inches,"You Could Find Anique Tin Sign,Modern Tin Sign,Minimalist Tin Sign Here.Material: Tin、MetalSize: Approx 8 Inch (L) X 12 Inch (W)/12 Inch (L) X 8 Inch (W)Waterproof, Non-Glare, Clean Simple And ColorfastCreative, Contracted, Fashionable DesignThe Edges Of Each Tin Sign Are Rolled And Hemmed For Safe HandlingPackage:Tin Sign X 1Metal Tin Signs Are Widely Used At Bars, Pubs, Clubs, Houses, Coffee Shops, Stores, Restaurants Decorations Or Can Be Used For Wedding, Birthday Or Any Kinds Of Events, Gifts Or As Collectibles. If You Have Any Questions, You Are Welcome To Consult Online.You Will Enjoy 100% Satisfied Service.",meta_Home_and_Kitchen,,"['Home & Kitchen', 'Wall Art', 'Posters & Prints']",PPFINE,1.0,1.0,11.95
B07PS6ZPHN,2023-01-04,"Louis Wain, Cats Nightmare Owl Bird Painting, Drawings, Art, Souvenir, Museum Quality Souvenir Magnet 2 x 3 Fridge Magnet",1,meta_Home_and_Kitchen,Amazon Home,"['Home & Kitchen', 'Kitchen & Dining', 'Kitchen Utensils & Gadgets', 'Kitchen Accessories', 'Refrigerator Magnets']",TANGDIAABBCC,4.8,12.0,
B0C1CPT79D,2023-04-03,Owl Heart Print Women's Infinity Scarf Lightweight for All Seasons,Lina & Lily Owl Heart Print Women's Infinity Scarf Lightweight for All Seasons,meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry', 'Women', 'Accessories', 'Scarves & Wraps', 'Fashion Scarves']",Lina & Lily,5.0,2.0,11.99
B0C4T6HLCD,2023-05-10,Homight Metal Agave Plant Outdoor Decoration Outdoor Garden Decoration Lily Mexican Yard Art Plant Garden Agave Lily Decorative Garden Gift… (3 Big Red Lilies),"The metal agave is 16 inches tall, with nice lily flowers in the middle, and comes with a ground insert for more firm resting on the ground. Just place it anywhere you want, garden, yard, patio. It can be placed on the ground, on the patio, and used as a planter -- outdoors or indoors, it will brighten up any space you place. This particular agave plant looks like it grows out of the ground.",meta_Patio_Lawn_and_Garden,Amazon Home,"['Patio, Lawn & Garden', 'Outdoor Décor', 'Garden Sculptures & Statues', 'Outdoor Statues']",Homight,4.1,78.0,48.99
B09P3B6759,2023-02-06,"High Sensitivity Hydrogel Screen Protector for Samsung Galaxy A14 5G, 2 Pieces Transparent Soft TPU Protective Film (NOT Tempered Glass) [Fingerprint Unlock Compatible] [Clear HD]","The video is inserted after all the pictures, please check it before installation.",meta_Cell_Phones_and_Accessories,Cell Phones & Accessories,"['Cell Phones & Accessories', 'Accessories', 'Maintenance, Upkeep & Repairs', 'Screen Protectors']",Iiseon,4.0,144.0,10.86
B0CBGL9V96,2023-07-09,BC Footwear Women's Look at Me Mule,Chic vegan mule with comfortable low heel.,meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry', 'Women', 'Shoes', 'Mules & Clogs']",BC Footwear,4.5,2.0,
B0BWF1ZLXG,2023-02-21,"Women Short Sleeve Tops,Summer Elegant Gorgeous Print Casual Shirt Loose T-Shirts Round Neck Short Sleeve Top","Office Short Sleeve Tees Ladies Summer Casual Solid Stretchy Tops Loose Deep V Neck Tees for WomenWelcome to our store Our store is a professional seller of Amazon platform and has been focusing on women's wear for many years. Our goal is to provide customers with the best quality clothing We listen to every customer's suggestions and promise to provide you with an incredible wearing experience. Women's casual shirt Material: 95% polyester and 5% spandex, soft, breathable and comfortable. Easy to take care of: Women's casual shirt is made of anti-wrinkle fabric, without ironing. Style: regular fit, unique design and perfect length, can be dressed up or down to create a fashionable shape. Occasion: office, leisure, work, daily wear, school, dating, etc. Please continue to follow us and add it to your wish list. We will have different colors and styles on the shelves every week. Please look forward to it. Thank you very much. Have a nice day! Enjoy shopping!
Product description:
Product type: shirtPattern type: PatternedSleeve type: Short SleeveNeck style: CrewneckClosure type: Pull-OnStyle name: VintageFront style: Pleated FrontTarget gender: FemaleAge range description: AdultFit type: LooseTheme: Holidays",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing']",AVCITY,3.3,3.0,9.99
B0BWW56JKG,2023-02-26,"Dog playpen Card Foot Holder Floor Protectors Prevent Deformation and Stabilize The Metal Dog Playpen, Prevent Pet from Pushing (Suitable for 2cm Square Tube, 4 * 90°＋2 * 180°)",These protectors designed specifically to prevent floors from being scratched Note: Please keep away from children and dogs swallowing them by accident 【Please note the size】Please measure the thickness of your square tube before purchasing,meta_Pet_Supplies,,"['Pet Supplies', 'Dogs', 'Crates, Houses & Pens', 'Playpens']",Blasinc,3.6,5.0,6.99
B09MPBNDS8,2023-01-21,BILLY Footwear Girl's Single Shoe - XWDR Classic (Little Kid/Big Kid),"Complete your kids' casual, sporty look with the BILLY Footwear Kids WDR Classic Shoes. Man-made upper, lining, and insole. Removable insole. Lace-Up and zip-around closure. Pull tabs for easy wear and removal. Padded collar for enhanced comfort. Round toes. Embroidered brand name logo on the heel counter. Man-made outsole. Imported.",meta_Clothing_Shoes_and_Jewelry,,"['Clothing, Shoes & Jewelry', 'Girls', 'Shoes']",BILLY Footwear,1.0,2.0,
B0BVBKB4BC,2023-02-09,Professional Wooden Slant Board Adjustable Calf Stretcher with Non Slip Surface 5 Positions Incline Board for Exercise Stretching Squat 450 Lbs Weight Capacity Extra Side Handle Design for Portability,"Professional Wooden Slant Board Adjustable Calf Stretcher with Non Slip Surface 5 Positions Incline Board for Exercise Stretching Squat 450 Lbs Weight Capacity Extra Side Handle Design for Portability, 전문가용 목재 슬랜트 보드 조절 가능한 종아리 스트레처, 미끄럼 방지 표면, 5가지 포지션 경사 보드, 운동 스트레칭, 스쿼트 204.1kg(450파운드), 무게 용량, 휴대성을 위한 추가 사이드 핸들 디자인, 专业木制倾斜板可调节小腿拉伸器,防滑表面 5 个位置倾斜板用于锻炼拉伸深蹲 400 磅承重能力额外侧手柄设计,便于携带, Tabla inclinada profesional de madera ajustable para pantorrillas con superficie antideslizante, 5 posiciones, tabla inclinada para ejercicio, estiramiento, sentadillas, capacidad de peso de 450 libras, diseño de mango lateral adicional para portabilidad, 專業木製斜板 可調式小腿伸展器 防滑表面 5 種位置傾斜板 適用於運動 伸展 深蹲 450 磅(約 204.1 公斤)重量 額外側把手設計 便於攜帶, לוח שיפוע מקצועי מעץ מתכוונן עם משטח מונע החלקה 5 מצבים לוח שיפוע לאימון מתיחה סקוואט קיבולת משקל 450 ק ג עיצוב ידית צד נוספת לניידות, لوح خشبي مائل احترافي قابل للتعديل مع سطح غير قابل للانزلاق 5 اوضاع للتمرين وتمدد القرفصاء بسعة وزن 450 باوند وتصميم مقبض جانبي اضافي لسهولة الحمل, Macador de panturrilha ajustável de madeira profissional com superfície antiderrapante 5 posições inclinada para exercícios, alongamento, agachamento, capacidade de peso de 204 kg, design de alça lateral extra para portabilidade, Professionelles Holzbrett mit abgeschrägter Oberfläche, verstellbar, mit rutschfester Oberfläche, 5 Positionen, Neigungsbrett für Übungen, Dehnen, Kniebeugen, 204 kg, Tragkraft, extra seitlicher Griff für Tragbarkeit",meta_Sports_and_Outdoors,Sports & Outdoors,"['Sports & Outdoors', 'Exercise & Fitness', 'Balance Trainers', 'Balance Boards']",Jexine,3.1,2.0,
B0C4SLY35V,2023-05-10,20 Pairs Western Earrings Jewelry for Women Cowgirl Cowboy Boho Vintage Handmade Cow Print Leather Wood Turquoise Teardrop Dangle Earrings Bulk Bohemian Girls,"Features: The boho earring sets for women are delicate in appearance, can match well with your various clothing, such as dresses, skirts, shirts, trousers, jeans and others. The western dangle earrings for women are suitable for various occasions, such as meeting, dancing party, bridal shower, dating, working, traveling, photoing and so on, making you stand out from the crowd.  Specifications: Main material: alloy, wood, faux leather Color: vintage color Size: one size  Package includes: 20 Pairs western cowgirl cowboy earrings  Notes: Manual measurement, please allow slight errors on size. The color may exist a slight difference due to different screen displays. The words on the product are only for decoration, not as trademark, our trademark is Cunno. Please take it off when swimming or taking a shower. Poking risk may exist, please put away from little kids.",meta_Clothing_Shoes_and_Jewelry,AMAZON FASHION,"['Clothing, Shoes & Jewelry', 'Women', 'Jewelry', 'Earrings', 'Drop & Dangle']",Cunno,4.4,11.0,21.99
B09XW5FS13,2023-01-01,YMP TRADE - Bamboo Tongs For Serving Food – Kitchen Wooden Mini Tongs For Toaster Cooking Serving Anti-slip Profile,"ONE OF DE MOST SUITABLE GIFTS FOR ANY LADY, MOTHER, WIFE, BUT ALSO AN INDISPENSABLE WOODEN TONGS IN ANY KITCHEN; We offer you 2 bamboo tongs V-design 10 inches and 2 mini tongs U-design 7 inches, an anti-slip grip that provides safety in use; The tongs 10-inch length from set can be used to prepare any dish, meats, sausages or fishes on barbeque grill, and will keeps your hand away from the fire or heat source. Also, cooking and serving foods is no longer a problem. The 7-inch small tongs are perfect for toasted bread, for serving any appetizers food, charcuteries, sausages and bacon, boiled or fried eggs, sushi, seafoods, muffins, fruits, olives, pickles, With the newly developed anti-slip profile, safety in use becomes maximum, and the opening of the 1.5 inch wooden tongs is enough for any application. Bamboo wood ensures resistance, elasticity, is protected from moisture. The accidental dropping of the bamboo tongs on hard surfaces, floors, is no longer a problem, the tongs are not destroyed. Reusable, durable, environmentally friendly and easy to clean! A brush, dish detergent and a jet of hot water solves the cleaning problem! After washing, we recommend wiping with a cotton cloth and natural drying, without heat sources. The longlife of the bamboo tongs depends on their correct use, and any non-conformity not attributable to the user will be solved by replacing the set or refund. Each design of two-piece pliers is packed and sealed separately, then everything together is packed in a cardboard box with a pleasant design, in the colors specific to bamboo. This set can be a suitable gift for any occasion, for anyone. The cardboard packaging is recyclable.",meta_Home_and_Kitchen,Amazon Home,"['Home & Kitchen', 'Kitchen & Dining', 'Kitchen Utensils & Gadgets', 'Cooking Utensils', 'Tongs']",Generic,4.5,15.0,12.99
